pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_1dose,numtotal_1doserange,numtotal_2doses,numtotal_2dosesrange,prop_atleast1dose,prop_1dose,prop_1doserange,prop_2doses,prop_2dosesrange,numweekdelta_atleast1dose,numweekdelta_2doses,propweekdelta_1dose,propweekdelta_2doses
1,Canada,Canada,2020-12-19,f,0-15,0,0,,0,,0,0,,0,,,,,
1,Canada,Canada,2020-12-19,f,16-69,5875,5875,,0,,0.133783026,0.133783026,,0,,,,,
1,Canada,Canada,2020-12-19,f,70-74,62,62,,0,,0.01888275,0.01888275,,0,,,,,
1,Canada,Canada,2020-12-19,f,75-79,42,42,,0,,0.017892441,0.017892441,,0,,,,,
1,Canada,Canada,2020-12-19,f,80+,241,241,,0,,0.068250493,0.068250493,,0,,,,,
1,Canada,Canada,2020-12-19,f,Unknown,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,m,0-15,0,0,,0,,0,0,,0,,,,,
1,Canada,Canada,2020-12-19,m,16-69,2308,2308,,0,,0.051381902,0.051381902,,0,,,,,
1,Canada,Canada,2020-12-19,m,70-74,66,66,,0,,0.021372226,0.021372226,,0,,,,,
1,Canada,Canada,2020-12-19,m,75-79,33,33,,0,,0.015778376,0.015778376,,0,,,,,
1,Canada,Canada,2020-12-19,m,80+,93,93,,0,,0.039981944,0.039981944,,0,,,,,
1,Canada,Canada,2020-12-19,m,Unknown,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,0-15,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,16-69,8,8,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,70-74,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,75-79,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,80+,0,0,,0,,na,na,,na,,,,,
1,Canada,Canada,2020-12-19,Unknown,Unknown,0,0,,0,,na,na,,na,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,0-15,0,0,,0,,0,0,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,16-69,716,716,,0,,0.394221028,0.394221028,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,70-74,2,2,,0,,0.011768167,0.011768167,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,75-79,0,0,,0,,0,0,,0,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,80+,0,0,,0,,0,0,,0,,,,,
